,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,look_back_0_open,look_back_0_close,look_back_0_high,look_back_0_low,look_back_1_open,look_back_1_close,look_back_1_high,look_back_1_low,look_back_2_open,look_back_2_close,look_back_2_high,look_back_2_low,look_back_3_open,look_back_3_close,look_back_3_high,look_back_3_low,look_back_4_open,look_back_4_close,look_back_4_high,look_back_4_low
3616,000001.SH,20070226,3040.599,2999.086,3041.336,2960.745,2998.474,42.125,1.4049,112056992.0,91054567.39,2.545116327019934,2.631263279781466,2.6327926875377163,2.465551845632661,2.58473981643358,2.5438463167800087,2.622437538686031,2.4968497123623465,2.388606241570203,2.532503382186157,2.535852722916943,2.388606241570203,2.208383072768123,2.3500639210045984,2.370753466906665,2.1804988773532727,2.1716918128790126,2.1981171566620525,2.204793011142188,2.1347017270510964
3615,000001.SH,20070227,2771.791,3048.829,3049.771,2763.395,3040.599,-268.808,-8.8406,161375663.0,129212458.933,2.6251198552357033,2.0536301632430236,2.627063066238732,2.036310418464435,2.5225071748496477,2.6081425446678397,2.6096628700491897,2.443415186455668,2.561895360509767,2.521244706554687,2.599369215160534,2.4745271910710414,2.366926523205874,2.50996913188106,2.5132985825805174,2.366926523205874,2.1877736081527464,2.328613085881824,2.349179767092225,2.1600550027942558
3614,000001.SH,20070228,2881.073,2734.595,2888.899,2732.884,2771.791,109.282,3.9426,121479168.0,95421808.386,1.9538658284480264,2.253760882247195,2.269783620754222,1.9503627738114917,2.5972199316958045,2.030019902241456,2.599148556749934,2.01283016131314,2.495377473025341,2.5803700546305306,2.5818789682875294,2.4168791575259903,2.5344700067658437,2.494124480951958,2.5716625786695815,2.447757632118756,2.3409646263348263,2.4829335419435994,2.4862380014312486,2.3409646263348263
3613,000001.SH,20070301,2797.19,2877.203,2878.355,2760.912,2881.073,-83.883,-2.9115,127364860.0,106613522.204,2.2249824450649096,2.062142243698313,2.2273269629804275,1.9883102810775206,1.934750664773111,2.232858559937352,2.2487858144571797,1.931268485820463,2.5742708406974146,2.0104509151078314,2.5761879725345826,1.9933636126610543,2.473035289767207,2.557521376769714,2.5590212983875404,2.3950047677195814,2.511894860148193,2.471789764624589,2.548865791097234,2.425699228832289
3612,000001.SH,20070302,2831.526,2792.941,2846.158,2777.796,2797.19,34.336,1.2275,93943965.0,74931594.415,2.0329162820718483,2.1109478718287127,2.14053859934776,2.0022880994395376,2.2033218235022725,2.0415091607780016,2.2056515472653904,1.9681430855363393,1.9149214359929572,2.2111482392689967,2.2269749911528174,1.9114612299524238,2.5504061729544336,1.9901440098583545,2.5523112074898995,1.9731645300709073,2.4498094289016734,2.533762399889797,2.5352528568458883,2.3722712875807477
3611,000001.SH,20070305,2785.306,2827.675,2858.441,2723.065,2831.526,-46.22,-1.6323,106910584.0,84960180.858,2.0845042410020014,1.9992872048750612,2.146384090266355,1.8741014901879818,2.014643528385863,2.092249781518058,2.1216792151277586,1.9841822946502898,2.184120218846535,2.0231895688046455,2.186437243690601,1.9502233992794467,1.8972918516915245,2.1919039741820696,2.2076444571939278,1.8938505066323261,2.5293126718740364,1.9721044003893387,2.5312073223975697,1.9552174727931761
3610,000001.SH,20070306,2840.175,2776.167,2866.332,2756.961,2785.306,54.869,1.9699,77040486.0,63993290.687,1.9613355660322873,2.0892900579377742,2.1415789225292587,1.922942021920039,2.064302069736009,1.979604783966362,2.1258045053372485,1.8551825940730773,1.9948674471599996,2.072000369141208,2.101250308610666,1.964592000654741,2.16331047610857,2.0033613641095442,2.165613369101245,1.930840225230853,1.878231514390385,2.1710467572558363,2.1866912369091978,1.8748111585653278
3609,000001.SH,20070307,2896.594,2851.747,2911.416,2849.648,2840.175,56.419,1.9865,87913930.0,73844900.601,2.090331615696914,2.1793752977616845,2.2088043667197876,2.086164052902214,1.9402675871006796,2.0673554190984014,2.1192901213475634,1.9021340897042875,2.042536679253827,1.958413064175845,2.1036225472584804,1.8348336092425528,1.9735723504729106,2.050182836625143,2.079234660737608,1.9435019652772243,2.140874483015593,1.982008736520879,2.1431617780796692,1.9099787969943607
3608,000001.SH,20070308,2928.015,2904.185,2928.803,2871.464,2896.594,31.421,1.0848,88955123.0,73782479.71,2.17107041877668,2.2180510274073626,2.219604561591206,2.1065612918356567,2.067689421908205,2.156104837571665,2.1853262635525286,2.0635512642281464,1.918684201584788,2.0448753386906535,2.096443604739867,1.8808197630887367,2.0202317126779157,1.936701649435221,2.080886576510546,1.8139941353025169,1.9517539762038008,2.027823920979919,2.0566707638453896,1.9218957589267678
3607,000001.SH,20070309,2937.91,2934.493,2962.421,2891.814,2928.015,9.895,0.3379,107139105.0,89725963.598,2.2073587023942256,2.214048138055594,2.262033141712545,2.1238063393296827,2.1480249546550527,2.194676769642003,2.1962194314216807,2.0839672946387706,2.045367469372396,2.1331641100236665,2.1621810299454705,2.041258272576022,1.8974050616210867,2.0227130504454562,2.073920416144728,1.8598056172803659,1.9982418927729058,1.915296414418642,2.0584722637292003,1.7934476684428646
